topology,K,p,k,realization,baseSeed,runSeed,outputDir,status
complete,0.30,,,3,20260527,-5652216294829361312,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.30/seed_0003,OK
complete,0.30,,,4,20260527,-5652216294829361311,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.30/seed_0004,OK
complete,0.30,,,5,20260527,-5652216294829361310,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.30/seed_0005,OK
complete,0.30,,,8,20260527,-5652216294829361307,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.30/seed_0008,OK
complete,0.30,,,9,20260527,-5652216294829361306,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.30/seed_0009,OK
complete,0.30,,,10,20260527,-5652216294829361305,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.30/seed_0010,OK
complete,0.30,,,6,20260527,-5652216294829361309,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.30/seed_0006,OK
complete,0.30,,,7,20260527,-5652216294829361308,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.30/seed_0007,OK
complete,0.30,,,14,20260527,-5652216294829361301,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.30/seed_0014,OK
complete,0.30,,,15,20260527,-5652216294829361300,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.30/seed_0015,OK
complete,0.30,,,11,20260527,-5652216294829361304,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.30/seed_0011,OK
complete,0.30,,,12,20260527,-5652216294829361303,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.30/seed_0012,OK
complete,0.30,,,13,20260527,-5652216294829361302,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.30/seed_0013,OK
complete,0.40,,,1,20260527,-7325753916360219753,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.40/seed_0001,OK
complete,0.40,,,2,20260527,-7325753916360219752,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.40/seed_0002,OK
